DATAFLOW,FREQ,ADJUSTMENT,REF_AREA,SECTOR,COUNTERPART_SECTOR,TRANSACTION,INSTR_ASSET,ACTIVITY,EXPENDITURE,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,TABLE_IDENTIFIER,TIME_PERIOD,OBS_VALUE,REF_YEAR_PRICE,BASE_PER,CONF_STATUS,DECIMALS,OBS_STATUS,UNIT_MULT,CURRENCY
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,EST,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2016-Q2,4606.4,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,EST,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2016-Q1,4139.4,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,EST,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2015-Q4,4534.4,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,EST,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2015-Q3,4392.5,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,EST,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2015-Q2,4433,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,EST,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2015-Q1,3774.1,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,EST,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2014-Q4,4532.3,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,EST,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2018-Q2,5468.4,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,EST,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2018-Q1,4892.5,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,EST,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2017-Q4,5459.9,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,EST,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2017-Q3,5003.6,,,F,1,A,6,EUR
